 3   9.037802778    7.285102778     1158    11630    40     -2.000  ABC ENRT DN ABUJA VOR/DME
12   9.037802778    7.285102778     1158    11630    40      0.000  ABC ENRT DN ABUJA VOR/DME
 3  11.549211111   43.154819444       49    11460    40      2.000  ABI ENRT HD DJIBOUTI TACAN
12  11.549211111   43.154819444       49    11460    40      0.000  ABI ENRT HD DJIBOUTI TACAN DME
 2 -29.610216667   30.395002778        0      280    50      0.000  OBI ENRT FA PIETERMARITZBURG NDB
 2  29.811194444   30.830333333        0      340    50      0.000  OCT ENRT HE OCTOBER NDB
 2  12.288888889   -1.555388889        0      305    25      0.000   OG ENRT DF OUAGADOUGOU NDB
 2 -33.601666667   22.185833333        0      367    50      0.000   OH ENRT FA OUDTSHOORN NDB
 2  30.625000000   18.351111111        0      300    50      0.000   OJ ENRT HL ESSIDER NDB
 2   6.505972222    4.791666667        0      345    50      0.000   OK ENRT DN OKITIPUPA NDB
 2  10.956052778  -14.306880556        0      382    50      0.000   OK ENRT GU BOKE NDB
 9  31.123344444  121.825202778       13        0     0    342.107  IDD ZSPD ZS 34L IM
 8  31.117341667  121.827472222       13        0     0    342.107  IDD ZSPD ZS 34L MM
 9  31.163905556  121.784977778        0        0     0    162.106  IPD ZSPD ZS 17L IM
 8  31.170400000  121.782522222        0        0     0    162.106  IPD ZSPD ZS 17L MM
 9  31.161950000  121.810636111        0        0     0    162.107  IZZ ZSPD ZS 16R IM
 8  31.167955556  121.808369444        0        0     0    162.107  IZZ ZSPD ZS 16R MM
 8  34.057419444  117.528127778      115        0     0     85.484  ICK ZSXZ ZS 09 MM
 7  34.052858333  117.465763889      115        0     0     85.484  ICK ZSXZ ZS 09 OM
 8  34.061336111  117.585569444      115        0     0    265.484  IDD ZSXZ ZS 27 MM
 7  34.065950000  117.649241667      115        0     0    265.484  IDD ZSXZ ZS 27 OM
 4  31.157233333  121.782422222       37    10810    25    342.087  IBD ZSPD ZS 35L ILS-cat-I
 6  31.128625000  121.794550000       37    10810    25 300342.087  IBD ZSPD ZS 35L GS
12  31.128625000  121.794550000       37    10810    25      0.000  IBD ZSPD ZS PUDONG DME-ILS
 4  31.161416667  121.810838889       12    10830    25    342.107  IDD ZSPD ZS 34L ILS-cat-I
 6  31.129338889  121.824261111       12    10830    25 300342.107  IDD ZSPD ZS 34L GS
12  31.129338889  121.824261111       12    10830    25      0.000  IDD ZSPD ZS PUDONG DME-ILS
 4  31.124872222  121.829477778       21    11150    25    162.111  IHL ZSPD ZS 16L ILS-cat-I
 6  31.157152778  121.815977778       21    11150    25 300162.111  IHL ZSPD ZS 16L GS
12  31.157152778  121.815977778       21    11150    25      0.000  IHL ZSPD ZS PUDONG DME-ILS
 4  31.123186111  121.795283333       37    11110    25    162.087  IKM ZSPD ZS 17R ILS-cat-I
 6  31.152463889  121.785544444       37    11110    25 300162.087  IKM ZSPD ZS 17R GS
12  31.152463889  121.785544444       37    11110    25      0.000  IKM ZSPD ZS PUDONG DME-ILS
 4  31.163752778  121.785036111       10    11190    25    342.106  INN ZSPD ZS 35R ILS-cat-II
 6  31.129244444  121.796622222       10    11190    25 300342.106  INN ZSPD ZS 35R GS
 4  31.124383333  121.799891667       26    11070    25    162.106  IPD ZSPD ZS 17L ILS-cat-II
 6  31.158163889  121.785711111       26    11070    25 300162.106  IPD ZSPD ZS 17L GS
12  31.158163889  121.785711111       26    11070    25      0.000  IPD ZSPD ZS PUDONG DME-ILS
 4  31.162875000  121.815138889       21    10890    25    342.111  IPR ZSPD ZS 34R ILS-cat-I
 6  31.129922222  121.826244444       21    10890    25 300342.111  IPR ZSPD ZS 34R GS
12  31.129922222  121.826244444       21    10890    25      0.000  IPR ZSPD ZS PUDONG DME-ILS
 4  31.123877778  121.825002778       12    10870    25    162.107  IZZ ZSPD ZS 16R ILS-cat-I
 6  31.156605556  121.813977778       12    10870    25 300162.107  IZZ ZSPD ZS 16R GS 
 5  36.710111111    5.053722222        0    11050    25    261.740   BJ DAAE DA 26 LOC 
 5 -15.951533333   -5.647241667        0    10930    25    184.572   HE FHSH FH 20 LOC
 5  16.841000000  -25.044388889        0    10970    25     53.445   SP GVSV GV 07 LOC
 5  64.509788889 -110.267227778        0    11130    25     99.175  IDK CDK2 CY 10 LOC
 5  64.512905556 -110.312208333        0    11130    25    279.175  IDV CDK2 CY 28 LOC
 5  51.448333333  -57.181666667        0    10910    25     27.439  IBX CYBX CY 05 LOC
 5  49.252363889 -117.662519444        0    11010    25    192.602  XCG CYCG CY 15 LOC
 5  48.775955556  -64.468000000        0    11030    25     84.079  IGP CYGP CY 10 LOC
 4  36.692211111    3.217516667      131    11030    25    232.655   AG DAAG DA 23 ILS-cat-III 
 4  36.691050000    3.213302778       66    10850    25     91.684   HB DAAG DA 09 ILS-cat-II
 4  22.795277778    5.444166667     4518    10850    25    201.894   TM DAAT DA 20 ILS-cat-I
 4  36.816508333    7.808491667       59    10970    25    186.872   AN DABB DA 19 ILS-cat-I
 4  36.290372222    6.609722222     2316    10830    25    339.306   CS DABC DA 34 ILS-cat-I
 4  36.286136111    6.612638889     2359    10930    25    316.228   CT DABC DA 32 ILS-cat-I
 4  35.613055556   -0.643861111      295    10990    25    247.197   OR DAOO DA 25L ILS-cat-
 4  31.629238889   -2.260983333     2661    10810    25    179.985   BC DAOR DA 18 ILS-cat-I
 4  34.803333333    5.723333333      246    11090    25    310.030   BI DAUB DA 31 ILS-cat-I
 4  32.384705556    3.792541667     1512    10950    25    302.330   GH DAUG DA 30 ILS-cat-I
 4  31.689166667    6.141666667      459    10910    25      4.203   HM DAUH DA 36 ILS-cat-I
12  41.305500000    2.099750000       30    10950    25      0.200  BCA LEBL LE EL PRAT DME-ILS 
12  41.282444444    2.078194444       30    11075    25      0.200  BLE LEBL LE EL PRAT DME-ILS
12  41.290388889    2.085000000       39    10875    25      0.200  BLT LEBL LE EL PRAT DME-ILS
12  41.290138889    2.100611111       30    11150    25      0.200  BLW LEBL LE EL PRAT DME-ILS
12  41.296777778    2.074972222       20    11030    25      0.200  QAA LEBL LE EL PRAT DME-ILS
99
